datehour,pm25_obs,pm25_geoscf,pm25_obs_lag1
2023-08-03 21:00:00,11.014285714285714,10.625,11.657142857142857
2023-08-03 22:00:00,12.385714285714286,10.483333333333333,11.014285714285714
2023-08-03 23:00:00,10.028571428571428,10.116666666666667,12.385714285714286
2023-08-04 00:00:00,8.942857142857143,10.066666666666666,10.028571428571428
2023-08-04 01:00:00,7.828571428571428,10.316666666666666,8.942857142857143
2023-08-04 02:00:00,7.614285714285714,12.225,7.828571428571428
2023-08-04 03:00:00,10.542857142857143,15.225,7.614285714285714
2023-08-04 04:00:00,9.285714285714286,19.708333333333332,10.542857142857143
2023-08-04 05:00:00,8.671428571428573,25.59166666666667,9.285714285714286
2023-08-04 06:00:00,8.6,33.03333333333333,8.671428571428573
2023-08-04 07:00:00,11.114285714285714,40.958333333333336,8.6
2023-08-04 08:00:00,9.771428571428572,48.75833333333333,11.114285714285714
2023-08-04 09:00:00,8.014285714285714,55.43333333333334,9.771428571428572
2023-08-04 10:00:00,7.799999999999999,61.28333333333333,8.014285714285714
2023-08-04 11:00:00,8.514285714285714,66.60000000000001,7.799999999999999
2023-08-04 12:00:00,11.033333333333333,49.199999999999996,8.514285714285714
2023-08-04 13:00:00,12.285714285714286,49.76666666666667,11.033333333333333
2023-08-04 14:00:00,11.299999999999999,44.98333333333334,12.285714285714286
2023-08-04 15:00:00,12.5,32.483333333333334,11.299999999999999
2023-08-04 16:00:00,13.4,21.8,12.5
2023-08-04 17:00:00,14.950000000000001,15.241666666666667,13.4
2023-08-04 18:00:00,14.166666666666666,12.408333333333333,14.950000000000001
2023-08-04 19:00:00,14.1,11.316666666666668,14.166666666666666
2023-08-04 20:00:00,15.185714285714287,10.85,14.1
2023-08-04 21:00:00,15.714285714285714,10.741666666666667,15.185714285714287
2023-08-04 22:00:00,16.02857142857143,10.883333333333333,15.714285714285714
2023-08-04 23:00:00,14.585714285714285,10.9,16.02857142857143
2023-08-05 00:00:00,10.228571428571428,10.950000000000001,14.585714285714285
2023-08-05 01:00:00,12.357142857142858,11.666666666666666,10.228571428571428
2023-08-05 02:00:00,10.885714285714286,13.691666666666668,12.357142857142858
2023-08-05 03:00:00,11.571428571428571,18.383333333333336,10.885714285714286
2023-08-05 04:00:00,11.257142857142856,24.7,11.571428571428571
2023-08-05 05:00:00,10.4,32.11666666666667,11.257142857142856
2023-08-05 06:00:00,10.557142857142859,40.49166666666667,10.4
2023-08-05 07:00:00,11.614285714285714,48.175000000000004,10.557142857142859
2023-08-05 08:00:00,10.085714285714285,55.48333333333333,11.614285714285714
2023-08-05 09:00:00,10.085714285714285,61.449999999999996,10.085714285714285
2023-08-05 10:00:00,10.87142857142857,63.916666666666664,10.085714285714285
2023-08-05 11:00:00,10.700000000000001,62.73333333333333,10.87142857142857
2023-08-05 12:00:00,10.042857142857143,56.550000000000004,10.700000000000001
2023-08-05 13:00:00,14.328571428571427,57.71666666666667,10.042857142857143
2023-08-05 14:00:00,14.642857142857142,56.06666666666667,14.328571428571427
2023-08-05 15:00:00,15.214285714285714,42.641666666666666,14.642857142857142
2023-08-05 16:00:00,16.914285714285715,32.141666666666666,15.214285714285714
2023-08-05 17:00:00,17.257142857142856,22.233333333333334,16.914285714285715
2023-08-05 18:00:00,16.557142857142857,18.016666666666666,17.257142857142856
2023-08-05 19:00:00,19.357142857142858,15.775,16.557142857142857
2023-08-05 20:00:00,18.442857142857143,15.424999999999999,19.357142857142858
2023-08-05 21:00:00,18.442857142857143,15.15,18.442857142857143
2023-08-05 22:00:00,18.357142857142858,14.633333333333333,18.442857142857143
2023-08-05 23:00:00,19.542857142857144,13.958333333333334,18.357142857142858
2023-08-06 00:00:00,14.342857142857143,13.625,19.542857142857144
2023-08-06 01:00:00,13.942857142857141,14.308333333333332,14.342857142857143
2023-08-06 02:00:00,13.342857142857143,16.258333333333333,13.942857142857141
2023-08-06 03:00:00,13.571428571428571,20.183333333333334,13.342857142857143
2023-08-06 04:00:00,12.200000000000001,24.208333333333332,13.571428571428571
2023-08-06 05:00:00,11.757142857142856,30.883333333333336,12.200000000000001
2023-08-06 06:00:00,11.257142857142856,38.699999999999996,11.757142857142856
2023-08-06 07:00:00,12.028571428571428,47.63333333333333,11.257142857142856
2023-08-06 08:00:00,10.700000000000001,54.89166666666667,12.028571428571428
2023-08-06 09:00:00,10.814285714285715,60.96666666666667,10.700000000000001
2023-08-06 10:00:00,10.357142857142858,66.3,10.814285714285715
2023-08-06 11:00:00,11.757142857142856,71.20833333333333,10.357142857142858
2023-08-06 12:00:00,11.142857142857142,59.00833333333333,11.757142857142856
2023-08-06 13:00:00,15.242857142857144,60.61666666666667,11.142857142857142
2023-08-06 14:00:00,15.085714285714285,61.71666666666667,15.242857142857144
2023-08-06 15:00:00,15.657142857142857,44.60833333333333,15.085714285714285
2023-08-06 16:00:00,19.32857142857143,28.425,15.657142857142857
2023-08-06 17:00:00,18.557142857142857,22.683333333333334,19.32857142857143
2023-08-06 18:00:00,19.614285714285717,19.633333333333333,18.557142857142857
2023-08-06 19:00:00,20.085714285714285,18.291666666666668,19.614285714285717
2023-08-06 20:00:00,17.87142857142857,17.458333333333332,20.085714285714285
2023-08-06 21:00:00,15.242857142857144,17.3,17.87142857142857
2023-08-06 22:00:00,15.37142857142857,17.108333333333334,15.242857142857144
2023-08-06 23:00:00,14.828571428571427,17.0,15.37142857142857
2023-08-07 00:00:00,14.014285714285714,16.816666666666666,14.828571428571427
2023-08-07 01:00:00,14.285714285714286,17.141666666666666,14.014285714285714
2023-08-07 02:00:00,14.714285714285714,18.883333333333333,14.285714285714286
2023-08-07 03:00:00,15.1,22.766666666666666,14.714285714285714
2023-08-07 04:00:00,15.414285714285715,29.641666666666666,15.1
2023-08-07 05:00:00,15.328571428571427,36.65,15.414285714285715
2023-08-07 06:00:00,16.485714285714288,43.541666666666664,15.328571428571427
2023-08-07 07:00:00,14.142857142857142,50.26666666666667,16.485714285714288
2023-08-07 08:00:00,15.428571428571429,56.65833333333333,14.142857142857142
2023-08-07 09:00:00,17.271428571428572,63.0,15.428571428571429
2023-08-07 10:00:00,17.728571428571428,69.56666666666666,17.271428571428572
2023-08-07 11:00:00,14.814285714285715,76.45,17.728571428571428
2023-08-07 12:00:00,19.8,61.03333333333333,14.814285714285715
2023-08-07 13:00:00,22.599999999999998,64.66666666666667,19.8
2023-08-07 14:00:00,21.771428571428572,53.800000000000004,22.599999999999998
2023-08-07 15:00:00,22.042857142857144,25.441666666666666,21.771428571428572
2023-08-07 16:00:00,19.12857142857143,18.408333333333335,22.042857142857144
2023-08-07 17:00:00,18.257142857142856,16.2,19.12857142857143
2023-08-07 18:00:00,13.171428571428573,14.950000000000001,18.257142857142856
2023-08-07 19:00:00,13.5,14.083333333333334,13.171428571428573
2023-08-07 20:00:00,11.528571428571428,13.491666666666667,13.5
2023-08-07 21:00:00,11.857142857142858,12.633333333333333,11.528571428571428
2023-08-07 22:00:00,10.428571428571429,11.766666666666666,11.857142857142858
2023-08-07 23:00:00,9.171428571428573,11.433333333333332,10.428571428571429
2023-08-08 00:00:00,8.885714285714284,11.408333333333333,9.171428571428573
2023-08-08 01:00:00,10.314285714285715,11.775,8.885714285714284
2023-08-08 02:00:00,12.214285714285714,13.875,10.314285714285715
2023-08-08 03:00:00,11.685714285714285,17.349999999999998,12.214285714285714
2023-08-08 04:00:00,11.4,21.325,11.685714285714285
2023-08-08 05:00:00,10.0,25.474999999999998,11.4
2023-08-08 06:00:00,10.257142857142856,29.666666666666668,10.0
2023-08-08 07:00:00,9.785714285714286,33.725,10.257142857142856
2023-08-08 08:00:00,11.799999999999999,37.208333333333336,9.785714285714286
2023-08-08 09:00:00,10.185714285714285,40.300000000000004,11.799999999999999
2023-08-08 10:00:00,8.885714285714286,42.925000000000004,10.185714285714285
2023-08-08 11:00:00,8.785714285714286,44.9,8.885714285714286
2023-08-08 12:00:00,9.6,38.88333333333333,8.785714285714286
2023-08-08 13:00:00,12.714285714285714,40.6,9.6
2023-08-08 14:00:00,12.542857142857143,34.03333333333333,12.714285714285714
2023-08-08 15:00:00,11.771428571428572,23.491666666666664,12.542857142857143
2023-08-08 16:00:00,11.299999999999999,21.125,11.771428571428572
2023-08-08 17:00:00,10.200000000000001,19.825,11.299999999999999
2023-08-08 18:00:00,10.700000000000001,18.425,10.200000000000001
2023-08-08 19:00:00,7.8428571428571425,17.224999999999998,10.700000000000001
2023-08-08 20:00:00,8.414285714285715,15.775,7.8428571428571425
2023-08-08 21:00:00,8.142857142857142,14.875,8.414285714285715
2023-08-08 22:00:00,9.085714285714285,14.225,8.142857142857142
2023-08-08 23:00:00,7.057142857142857,14.166666666666666,9.085714285714285
2023-08-09 00:00:00,7.271428571428571,14.433333333333332,7.057142857142857
2023-08-09 01:00:00,9.771428571428572,15.075000000000001,7.271428571428571
2023-08-09 02:00:00,9.342857142857143,17.191666666666666,9.771428571428572
2023-08-09 03:00:00,9.299999999999999,21.425,9.342857142857143
2023-08-09 04:00:00,10.771428571428572,26.541666666666668,9.299999999999999
2023-08-09 05:00:00,10.928571428571429,31.425,10.771428571428572
2023-08-09 06:00:00,11.328571428571427,36.03333333333333,10.928571428571429
2023-08-09 07:00:00,14.071428571428571,40.31666666666667,11.328571428571427
